sexo;tipo_de_emprendimiento;idea_negocio;barrio;estrato;comuna_ciudadano;fecha_de_beneficio;monto_del_credito;línea_credito
masculino;comercio;fabrica de ;prado;3;10.0;13/07/2018;5000000;microempresarial
femenino;servicio;recreativo-educativo;barrio caicedo;1;9.0;30/10/2017;6000000;microempresarial
femenino;comercio;tienda;aranjuez;02;4.0;3/08/2017;7300000;microempresarial
Masculino;comercio;variedades;cabecera san cristobal;3;60.0;20/11/2017;7000000;microempresarial
femenino;comercio;fabrica de ;robledo;2;7.0;23/02/2017;5000000;microempresarial
femenino;comercio;variedades;picachito;1;6.0;2017/05/31;7000000;microempresarial
femenino;industria;fabrica de ;guayabal;3;15.0;20/02/2016;$ 2,000,000.00;microempresarial
femenino;comercio;tienda;carpinelo;1;1.0;14/02/2017;3300000;microempresarial
masculino;comercio;variedades;belalcazar;2;5.0;7/05/2018;7800000;microempresarial
femenino;comercio;variedades;manrique central no. 1;1;4.0;2018/05/3;7800000;microempresarial
femenino;industria;fabrica de ;manrique central no. 2;2;3.0;28/02/2017;4500000;microempresarial
